"","rowid","taxa_id","x","y","zero_ind","W.proportion"
"49",49,"Blautia_hansenii",-0.291280356474461,1144,"No",0.323346523459582
"50",50,"Tannerella_forsythia",0.313753483815469,1135,"No",0.3208027133974
"51",51,"[Ruminococcus]_torques",-0.236310609034594,1120,"No",0.31656302996043
"52",52,"Bacillus_cereus_group",-0.269105520172402,1091,"No",0.308366308648954
"53",53,"butyrate-producing_bacterium_SS3/4",-0.224591013198756,1091,"No",0.308366308648954
"54",54,"Blautia_obeum",-0.331598855235725,1087,"No",0.307235726399096
"55",55,"Clostridium_botulinum",-0.262618920028386,1075,"No",0.303843979649519
"56",56,"Adlercreutzia_equolifaciens",-0.171478153712974,1057,"No",0.298756359525155
"57",57,"Clostridioides_difficile",-0.211831878395106,802,"No",0.226681741096665
"58",58,"Ruminococcus_sp._SR1/5",-0.140721326300065,775,"No",0.219050310910119
"59",59,"Petrimonas_mucosa",-0.293292606506403,767,"No",0.216789146410401
"60",60,"Pseudomonas_aeruginosa_group",0.293973488100728,750,"No",0.211984171848502
"61",61,"[Eubacterium]_hallii",-0.129623288133638,566,"No",0.159977388355003
"62",62,"Odoribacter_splanchnicus",0.238034487077877,537,"No",0.151780667043527
"63",63,"Coprococcus_catus",-0.107205356435029,343,"No",0.0969474279253816
"64",64,"Pseudomonas_putida_group",-0.164062143785899,335,"No",0.0946862634256642
"65",65,"Prevotella_melaninogenica",-0.198241624243105,333,"No",0.0941209723007349
"66",66,"[Eubacterium]_siraeum",-0.834978177951441,154,"No",0.0435274166195591
"67",67,"Enterococcus_faecalis",0.121728357954237,12,"No",0.00339174674957603
