,T5_570,T5_571,T5_572,T5_573,T5_574,T5_575,T5_576,T5_577,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586
Phenol,0,7854,0,9056,45401,21702,0,0,60320,0,0,14946,3090,18468,0,0
PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC(0:0/18:0); [M+H]+ C26H55N1O7P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl-L-carnitine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleic acid methyl ester,0,0,0,0,58098,0,0,0,43996,0,38356,0,0,0,0,0
Oleanolic acid methyl ester,50561,44436,44995,52516,188271,104209,20324,1940,37321,34438,78853,78915,61734,26237,33947,60986
Oleanolic acid,0,4267,0,0,10182,4511,4328,16075,0,0,0,0,0,7389,0,0
4-dihydroxyheptadec-16-en-2-yl acetate,0,0,10700,0,15247,36541,0,0,60229,0,0,0,0,9555,0,0
4-dihydroxyheptadec-16-en-2-yl acetate.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Phenanthrenecarboxylic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Phenanthrenecarboxylic acid.1,0,4870,15731,15534,16948,7165,3768,0,25235,3232,12487,0,10708,21460,14186,12277
(E)-3-(4-methoxyphenyl),0,0,0,0,3270,0,1075,0,0,0,0,0,0,0,0,1450
(E)-3-(4-methoxyphenyl).1,0,0,0,0,0,0,0,0,1201,0,0,0,0,0,1431,0
Methyl γ -linolenate,0,0,0,0,8654,26180,0,0,0,0,0,0,0,0,0,0
Medicagenic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicagenic acid.1,0,0,0,0,0,9379,0,0,0,0,0,0,0,13294,4350,0
Linoleic acid methyl ester,0,8831,0,0,81244,14055,4490,0,61612,0,0,20083,4934,25691,0,25488
Hederagenin,0,0,4884,0,0,8096,15019,6218,14411,0,0,7669,0,7569,11522,13714
Genistein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinocystic acid,18033,6884,14231,0,0,2736,0,0,0,0,0,0,0,19329,15945,0
Daidzin,0,0,0,0,0,0,0,0,0,0,23640,0,0,0,0,0
Coproporphyrin I,0,0,2243,0,0,0,0,0,7126,3273,8175,2045,4476,0,4770,0
Coproporphyrin I.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3127,0,0
"cis-5,8,11,14-Eicosatetraenoic acid",7853,5822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cis-5,8,11,14-Eicosatetraenoic acid.1",5961,0,4968,6988,0,0,0,0,0,4189,6685,0,0,0,7791,0
cis-12-Octadecenoic acid methyl ester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramide (18:1/16:0),0,0,0,0,0,0,0,0,3287,0,0,0,0,1570,0,1896
Caulophyllogenin,7057,0,1766,14030,7439,2677,0,0,8085,3471,0,4014,0,0,0,0
Bacosine,72601,3751,85668,0,251083,81569,74503,91955,0,0,0,0,0,0,91090,4532
Bacosine.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Oxo-10E,12Z-octadecadienoic acid",0,0,0,0,0,8337,0,0,0,0,0,0,0,0,0,11201
5-Hexenoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8036,0
4-Cholestenone,0,0,3457,0,0,0,0,0,0,0,0,0,0,0,0,0
3β -Hydroxy-5-cholestenoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Hydroxykynurenine,15149,0,0,0,109892,52032,0,0,4007,0,0,0,0,131702,0,0
25(S)-26-Hydroxycholesterol,0,0,0,0,0,0,0,0,1781,0,0,0,0,0,0,0
17-Octadecynoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Palmitoyl-sn-glycero-3-phosphocholine,69196,54981,117275,35704,63940,76174,56964,27484,110207,38557,43303,31460,40654,55547,49294,186922
1-Palmitoyl-sn-glycero-3-phosphocholine.1,0,0,0,0,0,0,0,0,4119,0,2509,0,0,3811,3285,0
1-Hexadecyl-sn-glycero-3-phosphocholine,0,0,0,0,3858,2462,0,0,0,0,22402,0,0,0,0,0
(+)-Fluprostenol lactone diol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
