,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,589_T2,591_T2,593_T2,595_T2,597_T2,599_T2,601_T2,603_T2
Phytomonic acid.1,0,30737,9215,0,0,0,0,0,0,0,0,0,0,0,0,14084
Phenol,4404,0,0,62465,26338,0,25831,0,0,0,0,0,0,0,0,0
PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,0,0,0,0,0,0,0,0,0,0,495,912,3925,0,0,1984
PC(0:0/18:0); [M+H]+ C26H55N1O7P1,0,0,0,0,0,0,0,0,1277,1621,2561,2973,0,0,0,0
Palmitoyl-L-carnitine,0,0,0,0,0,0,0,0,0,27959,64236,0,0,0,0,12479
Oleic acid methyl ester,0,0,0,76983,0,0,34538,36464,0,0,0,0,0,0,0,0
Oleanolic acid methyl ester,22332,29956,15512,24991,26220,33232,44299,57174,0,0,0,0,0,0,0,0
Oleanolic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-dihydroxyheptadec-16-en-2-yl acetate,0,19891,0,11881,20865,9486,26642,0,0,0,0,0,0,0,0,0
4-dihydroxyheptadec-16-en-2-yl acetate.1,0,0,0,0,0,1486,0,0,0,0,0,0,0,0,0,0
1-Phenanthrenecarboxylic acid,0,0,0,0,0,0,0,0,9278,0,0,0,0,0,7317,0
1-Phenanthrenecarboxylic acid.1,7102,20866,45960,8178,31590,13641,4692,15009,29241,7987,28953,5451,12091,0,31789,21681
(E)-3-(4-methoxyphenyl),0,2721,0,0,0,0,0,0,0,0,2398,0,0,0,0,0
(E)-3-(4-methoxyphenyl).1,0,4077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl γ -linolenate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicagenic acid,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicagenic acid.1,0,0,0,0,0,0,0,0,0,3071,0,4551,7400,0,0,3374
Linoleic acid methyl ester,5588,8713,0,33268,10474,0,20835,0,0,0,0,0,0,0,0,0
Hederagenin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genistein,0,0,0,0,0,0,0,0,18272,0,19202,0,0,0,0,6825
Echinocystic acid,0,5849,9820,0,0,0,0,0,0,0,0,0,0,0,0,0
Daidzin,0,31185,46275,0,0,45223,0,0,14370,0,29874,0,11748,0,0,13255
Coproporphyrin I,0,0,1700,0,0,0,0,7286,20943,0,16456,9396,15111,16834,3602,8249
Coproporphyrin I.1,0,0,8697,0,0,0,0,0,0,0,0,0,0,0,0,0
"cis-5,8,11,14-Eicosatetraenoic acid",0,0,0,0,0,0,0,0,20735,0,15777,0,0,0,0,0
"cis-5,8,11,14-Eicosatetraenoic acid.1",0,0,7651,0,0,0,0,0,0,28905,0,37795,15024,18472,25252,17987
cis-12-Octadecenoic acid methyl ester,0,0,0,16268,0,0,0,0,0,0,0,0,0,0,0,0
Ceramide (18:1/16:0),0,0,0,0,0,0,0,0,1391,0,0,0,0,0,0,0
Caulophyllogenin,10315,0,0,0,6634,0,0,4326,0,0,0,0,0,0,0,0
Bacosine,0,0,5328,7021,0,0,0,3776,0,0,0,0,0,0,0,0
Bacosine.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Oxo-10E,12Z-octadecadienoic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Hexenoic acid,0,0,0,0,0,0,0,9471,0,0,0,0,0,0,0,0
4-Cholestenone,13147,0,0,0,0,5808,0,0,11199,10248,8590,6904,17572,6113,0,25479
3β -Hydroxy-5-cholestenoic acid,0,0,0,0,0,0,0,0,0,2885,0,0,0,2983,7290,0
3-Hydroxykynurenine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25(S)-26-Hydroxycholesterol,0,0,0,0,0,0,0,0,9072,13917,0,0,0,0,7296,10942
17-Octadecynoic acid,0,0,0,0,0,16693,0,0,0,0,0,0,0,0,0,0
1-Palmitoyl-sn-glycero-3-phosphocholine,64691,130790,101779,23593,32815,0,61503,54530,524927,680404,826132,1066926,628400,838859,755188,695444
1-Palmitoyl-sn-glycero-3-phosphocholine.1,0,0,0,0,0,0,2503,0,0,0,0,0,0,0,0,0
1-Hexadecyl-sn-glycero-3-phosphocholine,0,0,0,0,0,12696,0,13191,89766,19384,70343,19176,0,62455,15040,67358
(+)-Fluprostenol lactone diol,9987,0,0,0,0,0,6818,0,0,0,0,0,4661,7197,0,0
